,name_fr,name_de,abbrev,lat,lng
0,Argovie,Aargau,AG,"47,3876664","8,1554295"
1,Appenzell Rhodes-Extérieures,Appenzell Ausserrhoden,AR,"47,366481","9,3000916"
2,Appenzell Rhodes-Intérieures,Appenzell Innerrhoden,AI,"47,3161925","9,6316573"
3,Bâle-Campagne,Basel-Landschaft,BL,"47,4418122","7,7644002"
4,Bâle-Ville,Basel-Stadt,BS,"47,5619253","7,592768"
5,Berne,Bern,BE,"46,9479739","7,5474468"
6,Fribourg,Freiburg,FR,"46,7064773","7,1619719"
7,Genève,Genf,GE,"46,2043907","6,1431577"
8,Glaris,Glarus,GL,"47,0404265","9,0672085"
9,Grisons,Graubünden,GR,"46,6569871","9,5780257"
10,Jura,Jura,JU,"47,38444474","7,2430608"
11,Lucerne,Luzern,LU,"47,0501682","8,3093072"
12,Neuchâtel,Neuenburg,NE,"46,9899874","6,9292732"
13,Nidwald,Nidwalden,NW,"46,9267016","8,3849982"
14,Obwald,Obwalden,OW,"46,877858","8,251249"
15,Saint-Gall,Sankt Gallen,SG,"47,251529","9,087851"
16,Schaffhouse,Schaffhausen,SH,"47,7958897","8,6380489"
17,Schwytz,Schwyz,SZ,"47,0207138","8,6529884"
18,Soleure,Solothurn,SO,"47,2088348","7,532291"
19,Thurgovie,Thurgau,TG,"47,6037856","9,0557371"
20,Tessin,Tessin,TI,"46,331734","8,8004529"
21,Uri,Uri,UR,"46,7738629","8,6025153"
22,Valais,Valais,VS,"46,1904614","7,5449226"
23,Vaud,Waadt,VD,"46,5613135","6,536765"
24,Zoug,Zug,ZG,"47,1661672","8,5154946"
25,Zurich,Zürich,ZH,"47,3768866","8,541694"
