Année,Source de financement,BS,BE,FR,GE,LS,LU,NE,SG,UZH,USI,EPFL,ETHZ,FS-CH,IHEID
1995,Ecolage,7057248,8015360,5144738,3400000,5811377,198405,1921134,3484643,18823722,0,3041000,5591000,...,...
1995,Autres moyens propres de la haute école,3944795,29832251,3530732,7710000,3777604,94816,1135937,1443054,49688289,0,0,0,...,...
1995,Canton universitaire: couverture ou budget,86693000,262899000,33095904,279440000,150095000,3846854,28989988,22115000,391236460,0,0,0,...,...
1995,Canton: imputations internes (jusqu'en 1999),0,442000,0,1958000,0,0,0,2923000,0,0,0,0,...,...
1995,Autres cantons: accord intercantonal universitaire,17783363,30926256,40067064,22358000,20910540,1124035,10147579,17319754,53931787,0,0,0,...,...
1995,Autres cantons: autres subventions,43201433,85000,0,0,0,324530,810653,0,1784433,0,0,0,...,...
1995,"Confédération: contributions aux investissements figurant dans le compte courant, selon LEHE (autrefois LAU)",0,840850,2340565,0,0,0,0,0,0,0,0,0,...,...
1995,"Confédération: contributions liées à des projets de coopération et d'innovation, selon LEHE (autrefois LAU)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Confédération: autres subventions,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Fondations,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Communes (jusqu'en 1999),0,87725,0,0,0,0,100,0,96871,0,0,0,...,...
1995,"Déduction des dépenses non universitaires (budget ordinaire, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,-1495000,...,...
1995,Confédération: subventions de base LEHE (autrefois LAU),55534902,59149221,38817574,69733000,49233571,1233859,19737505,15054613,66217212,0,0,0,...,...
1995,Confédération: enveloppe budgétaire EPF,0,0,0,0,0,0,0,0,0,0,298548000,667290000,...,...
1995,Frais centraux de la haute école couverts par des overheads,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Financement de projets de l'UE par le FNS (dès 2015),0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,"Déduction des dépenses non universitaires (FNRS, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Projets du FNS,27245000,40979433,8591650,45540000,18652912,164515,10308000,2452863,37660000,0,16706000,35452000,...,...
1995,Projets de Innosuisse (autrefois CTI),1666800,0,0,0,0,0,1059000,1488084,0,0,9311000,11939000,...,...
1995,Programmes de recherche de l'UE,0,0,0,0,0,0,7097000,78768,1933450,0,0,0,...,...
1995,Autres programmes internationaux,2500136,31555103,0,0,0,0,0,0,0,0,4141000,0,...,...
1995,Mandats de recherche de la Confédération,3789713,18907767,0,0,0,0,0,0,0,0,29396000,24660000,...,...
1995,"Mesures spéciales (subv. Extraord. LAU, jusqu'en 1999)",2582275,0,0,0,2652773,0,0,2085654,0,0,0,15877000,...,...
1995,"Programmes prioritaires (PPR, jusqu'en 1999)",0,0,0,0,0,37538,0,0,0,0,0,13771000,...,...
1995,Programmes COST (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,2027000,...,...
1995,Financement de projets de l'UE par le SEFRI,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Mandats de recherche du secteur privé,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Mandats de recherche des autres collectivités publiques,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Revenus des prestations de service,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Revenus de la formation continue,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Canton: mandats publics (jusqu'en 1999),0,8600188,0,0,0,0,0,0,0,0,0,0,...,...
1995,Autres cantons: mandats publics (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,6019000,801000,...,...
1995,Communes: mandats publics (jusqu'en 1999),0,0,0,0,0,0,0,0,0,0,0,0,...,...
1995,Economie privée (jusqu'en 1999),0,0,0,0,0,0,0,24627852,0,0,11865000,41809000,...,...
1995,Fondations privées (jusqu'en 1999),0,0,0,0,0,0,0,1771404,0,0,0,8429000,...,...
1995,Revenu de la fortune de l'université (jusqu'en 1999),0,0,0,0,1460000,0,0,0,0,0,0,0,...,...
1995,"Déduction des dépenses non universitaires (Crédit de tiers, jusqu'en 1999)",0,0,0,-7881000,0,0,-672000,0,0,0,0,-3406000,...,...
1995,Autres sources externes (jusqu'en 1999),28159000,4173622,16752000,80741000,7197213,0,5294000,3577907,42756550,0,0,0,...,...
1996,Ecolage,6729000,12872325,5175000,10094425,6394000,228000,1848133,3503000,20043000,0,3272000,7498000,...,...
1996,Autres moyens propres de la haute école,10819000,35826854,3329000,7594914,3460000,70000,854977,1827000,65881000,0,0,0,...,...
1996,Canton universitaire: couverture ou budget,97459000,269792894,41466000,301109420,168250000,3458000,34566218,24081000,386684000,0,0,0,...,...
1996,Canton: imputations internes (jusqu'en 1999),0,448326,0,90000,0,0,0,0,0,0,0,0,...,...
1996,Autres cantons: accord intercantonal universitaire,16488000,31812460,42919000,22863256,22266000,1301000,10515378,17266000,59788000,0,0,0,...,...
1996,Autres cantons: autres subventions,56955000,85000,0,9502309,0,440000,478075,152000,0,0,0,0,...,...
1996,"Confédération: contributions aux investissements figurant dans le compte courant, selon LEHE (autrefois LAU)",0,0,2930000,0,0,0,0,0,0,0,0,0,...,...
1996,"Confédération: contributions liées à des projets de coopération et d'innovation, selon LEHE (autrefois LAU)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,Confédération: autres subventions,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,Fondations,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,Communes (jusqu'en 1999),0,71340,0,0,0,0,200,0,0,0,0,0,...,...
1996,"Déduction des dépenses non universitaires (budget ordinaire, jusqu'en 1999)",0,-14613000,-161000,-28180000,-17565000,0,-49000,-142000,0,0,0,-1478000,...,...
1996,Confédération: subventions de base LEHE (autrefois LAU),33592000,58578185,39500000,62125676,49726000,1285000,18710154,16905000,62535000,0,0,0,...,...
1996,Confédération: enveloppe budgétaire EPF,0,0,0,0,0,0,0,0,0,0,305265000,657443000,...,...
1996,Frais centraux de la haute école couverts par des overheads,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,Financement de projets de l'UE par le FNS (dès 2015),0,0,0,0,0,0,0,0,0,0,0,0,...,...
1996,"Déduction des dépenses non universitaires (FNRS, jusqu'en 1999)",0,0,0,-2579000,0,0,-32000,0,0,0,0,-2114000,...,...
1996,Projets du FNS,32730000,40360000,9274000,47359250,24863000,249000,9661575,1705000,34499000,0,16432000,35820000,...,...
1996,Projets de Innosuisse (autrefois CTI),1114000,0,204000,0,0,0,1930173,2106000,507000,0,9545000,12452000,...,...
