"Canton","Groupe / Genre de véhicule","2019","2020","2021","2022"
"Zürich","> Voitures de tourisme",55714,39573,42067,35861
"Zürich","> Véhicules de transport de personnes",802,969,1268,976
"Zürich","> Véhicules de transport de choses",5555,4283,4489,3892
"Zürich","> Véhicules agricoles",271,257,283,241
"Zürich","> Véhicules industriels",815,693,854,760
"Zürich","> Motocycles",6689,8189,8350,6935
"Zürich","> Remorques",2128,2062,2188,2039
"Bern / Berne","> Voitures de tourisme",23452,17640,18763,18825
"Bern / Berne","> Véhicules de transport de personnes",1011,1060,1294,1070
"Bern / Berne","> Véhicules de transport de choses",4464,3720,3529,3042
"Bern / Berne","> Véhicules agricoles",465,460,491,390
"Bern / Berne","> Véhicules industriels",749,635,636,629
"Bern / Berne","> Motocycles",4567,5000,5668,5299
"Bern / Berne","> Remorques",2575,2600,2856,2736
"Luzern","> Voitures de tourisme",10066,7489,8082,7524
"Luzern","> Véhicules de transport de personnes",399,478,505,419
"Luzern","> Véhicules de transport de choses",1663,1330,1554,1230
"Luzern","> Véhicules agricoles",193,228,245,193
"Luzern","> Véhicules industriels",207,206,215,200
"Luzern","> Motocycles",2069,2330,2756,2238
"Luzern","> Remorques",1081,1053,1134,1074
"Uri","> Voitures de tourisme",892,689,718,641
"Uri","> Véhicules de transport de personnes",30,48,43,39
"Uri","> Véhicules de transport de choses",103,98,85,77
"Uri","> Véhicules agricoles",9,18,9,8
"Uri","> Véhicules industriels",25,28,27,28
"Uri","> Motocycles",125,145,189,157
"Uri","> Remorques",93,82,98,86
"Schwyz","> Voitures de tourisme",4867,3711,3880,3780
"Schwyz","> Véhicules de transport de personnes",117,153,236,191
"Schwyz","> Véhicules de transport de choses",598,518,610,458
"Schwyz","> Véhicules agricoles",60,56,79,53
"Schwyz","> Véhicules industriels",85,96,82,79
"Schwyz","> Motocycles",729,990,1151,1046
"Schwyz","> Remorques",437,462,492,447
"Obwalden","> Voitures de tourisme",925,674,732,592
"Obwalden","> Véhicules de transport de personnes",40,42,54,36
"Obwalden","> Véhicules de transport de choses",128,103,111,102
"Obwalden","> Véhicules agricoles",21,25,25,19
"Obwalden","> Véhicules industriels",21,22,15,14
"Obwalden","> Motocycles",170,190,261,225
"Obwalden","> Remorques",158,137,133,134
"Nidwalden","> Voitures de tourisme",1244,912,996,930
"Nidwalden","> Véhicules de transport de personnes",32,56,56,47
"Nidwalden","> Véhicules de transport de choses",129,89,113,86
"Nidwalden","> Véhicules agricoles",11,9,10,13
"Nidwalden","> Véhicules industriels",14,20,14,25
"Nidwalden","> Motocycles",231,270,294,229
"Nidwalden","> Remorques",77,102,110,109
"Glarus","> Voitures de tourisme",1008,781,776,732
"Glarus","> Véhicules de transport de personnes",27,35,39,30
"Glarus","> Véhicules de transport de choses",166,135,137,136
"Glarus","> Véhicules agricoles",20,27,17,14
"Glarus","> Véhicules industriels",33,27,30,25
"Glarus","> Motocycles",113,161,208,137
"Glarus","> Remorques",111,95,111,91
"Zug","> Voitures de tourisme",7931,6904,7676,7492
"Zug","> Véhicules de transport de personnes",135,164,240,234
"Zug","> Véhicules de transport de choses",957,769,885,737
"Zug","> Véhicules agricoles",41,37,44,30
"Zug","> Véhicules industriels",51,47,46,47
"Zug","> Motocycles",605,818,861,642
"Zug","> Remorques",233,261,261,241
"Fribourg / Freiburg","> Voitures de tourisme",9924,7680,8538,7709
"Fribourg / Freiburg","> Véhicules de transport de personnes",241,323,420,309
"Fribourg / Freiburg","> Véhicules de transport de choses",1145,971,1012,835
"Fribourg / Freiburg","> Véhicules agricoles",191,189,226,180
"Fribourg / Freiburg","> Véhicules industriels",118,113,99,89
"Fribourg / Freiburg","> Motocycles",1473,1698,2298,1933
"Fribourg / Freiburg","> Remorques",1037,1133,1218,1053
"Solothurn","> Voitures de tourisme",6753,4983,5139,4807
"Solothurn","> Véhicules de transport de personnes",185,194,211,219
"Solothurn","> Véhicules de transport de choses",985,806,911,821
"Solothurn","> Véhicules agricoles",65,65,68,45
"Solothurn","> Véhicules industriels",103,100,88,91
"Solothurn","> Motocycles",989,1153,1440,1263
"Solothurn","> Remorques",706,633,649,637
"Basel-Stadt","> Voitures de tourisme",6665,4167,4486,2906
"Basel-Stadt","> Véhicules de transport de personnes",44,48,71,101
"Basel-Stadt","> Véhicules de transport de choses",657,590,691,474
"Basel-Stadt","> Véhicules agricoles",2,0,5,2
"Basel-Stadt","> Véhicules industriels",22,15,20,26
"Basel-Stadt","> Motocycles",508,663,630,560
"Basel-Stadt","> Remorques",135,128,132,102
"Basel-Landschaft","> Voitures de tourisme",7235,5500,5748,5331
"Basel-Landschaft","> Véhicules de transport de personnes",161,190,240,193
"Basel-Landschaft","> Véhicules de transport de choses",1092,976,989,821
"Basel-Landschaft","> Véhicules agricoles",45,45,66,43
"Basel-Landschaft","> Véhicules industriels",89,83,88,80
"Basel-Landschaft","> Motocycles",1258,1475,1520,1398
