id,updated,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,lastName,number,party,partyName,pictureUrl
4187,2019-11-19T12:15:42Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4187,NE,Neuchâtel,S,RL,Groupe libéral-radical,Philippe,Membre,www.avocatsneuchatel.ch,Bauer,3059,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3059.jpg
4238,2019-11-15T12:27:49Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4238,JU,Jura,S,S,Groupe socialiste,Elisabeth,Membre,elisabethbaume.ch,Baume-Schneider,3193,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3193.jpg
3871,2020-05-15T10:29:47Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3871,SO,Soleure,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Pirmin,Vice-président(e),www.pirmin-bischof.ch,Bischof,2674,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2674.jpg
4189,2020-04-07T08:38:33Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4189,AG,Argovie,S,RL,Groupe libéral-radical,Thierry,Membre,www.thierry-burkart.ch,Burkart,3065,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3065.jpg
3830,2021-02-08T15:02:02Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3830,TI,Tessin,S,S,Groupe socialiste,Marina,Membre,www.marinacarobbio.ch,Carobbio Guscetti,2666,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2666.jpg
4075,2019-12-13T15:57:09Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4075,AR,Appenzell Rh.-Ext.,S,RL,Groupe libéral-radical,Andrea,Membre,www.andrea-caroni.ch,Caroni,2775,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2775.jpg
4159,2020-12-04T10:58:11Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4159,TI,Tessin,S,V,Groupe de l'Union démocratique du Centre,Marco,Membre,www.marcochiesa.ch,Chiesa,3067,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3067.jpg
4151,2020-02-14T15:26:48Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4151,UR,Uri,S,RL,Groupe libéral-radical,Josef,Membre,www.josef-dittli.ch,Dittli,3052,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3052.jpg
4055,2019-10-22T15:31:07Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4055,GR,Grisons,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Stefan,Membre,www.stefanengler.ch,Engler,2768,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2768.jpg
4206,2020-09-30T09:07:40Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4206,OW,Obwald,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Erich,Membre,www.erich-ettlin.ch,Ettlin,3107,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3107.jpg
4056,2019-12-13T15:58:56Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4056,AI,Appenzell Rh.-Int.,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Daniel,Membre,,Fässler,2767,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2767.jpg
3879,2020-02-14T15:56:27Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3879,VD,Vaud,S,RL,Groupe libéral-radical,Olivier,Membre,www.olivier-francais.ch,Français,2682,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2682.jpg
4306,2021-03-16T15:07:14Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4306,FR,Fribourg,S,RL,Groupe libéral-radical,Johanna,Membre,,Gapany,3183,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3183.jpg
825,2021-05-26T10:13:41Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=825,SH,Schaffhouse,S,V,Groupe de l'Union démocratique du Centre,Hannes,Membre,www.hannesgermann.ch,Germann,2575,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2575.jpg
4181,2021-02-01T08:46:47Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4181,LU,Lucerne,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Andrea,Président(e),www.andrea-gmuer.ch,Gmür-Schönenberger,3075,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3075.jpg
806,2019-12-04T08:52:39Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=806,BL,Bâle-Campagne,S,G,Groupe des Verts,Maya,Membre,www.mayagraf.ch,Graf,2569,VERT-E-S,Les VERT-E-S suisses,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2569.jpg
1106,2019-10-22T15:31:07Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1106,TG,Thurgovie,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Brigitte,Membre,www.srbrigitte-haeberli.ch,Häberli-Koller,2600,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2600.jpg
4139,2021-02-01T13:21:53Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4139,GL,Glaris,S,RL,Groupe libéral-radical,Thomas,Membre,www.thomashefti.ch,Hefti,3041,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3041.jpg
4153,2021-02-01T13:25:37Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4153,ZG,Zoug,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Peter,Membre,www.peter-hegglin.ch,Hegglin,3053,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3053.jpg
4239,2020-08-13T09:26:38Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4239,BS,Bâle-Ville,S,S,Groupe socialiste,Eva,Membre,www.evaherzog.ch,Herzog,3194,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3194.jpg
3891,2021-06-09T13:38:48Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3891,ZH,Zurich,S,S,Groupe socialiste,Daniel,Membre,www.jositsch.ch,Jositsch,2694,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2694.jpg
4240,2020-12-07T19:34:41Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4240,JU,Jura,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Charles,Membre,,Juillard,3195,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3195.jpg
4114,2021-05-10T16:08:51Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4114,AG,Argovie,S,V,Groupe de l'Union démocratique du Centre,Hansjörg,Membre,www.hansjoerg-knecht.ch,Knecht,3021,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3021.jpg
1162,2020-05-13T10:14:46Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1162,SZ,Schwyz,S,V,Groupe de l'Union démocratique du Centre,Alex,Membre,www.alex-kuprecht.ch,Kuprecht,2641,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2641.jpg
1150,2020-11-04T11:43:55Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1150,FR,Fribourg,S,S,Groupe socialiste,Christian,Membre,www.levrat.ch,Levrat,2613,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2613.jpg
4303,2020-01-09T08:45:48Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4303,VS,Valais,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Marianne,Membre,,Maret,3200,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3200.jpg
4186,2020-11-02T15:54:40Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4186,GE,Genève,S,G,Groupe des Verts,Lisa,Vice-président(e),www.lisamazzone.ch,Mazzone,3086,VERT-E-S,Les VERT-E-S suisses,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3086.jpg
4309,2019-11-29T18:20:28Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4309,ZG,Zoug,S,RL,Groupe libéral-radical,Matthias,Membre,www.matthiasmichel.ch,Michel,3205,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3205.jpg
4112,2019-10-22T15:31:07Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4112,SH,Schaffhouse,S,V,Groupe de l'Union démocratique du Centre,Thomas,Membre,www.minder.sh,Minder,3019,-,sans parti,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3019.jpg
4207,2020-02-14T15:25:47Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4207,LU,Lucerne,S,RL,Groupe libéral-radical,Damian,Membre,www.damian-mueller.ch,Müller,3108,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3108.jpg
1153,2019-11-26T10:45:26Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1153,ZH,Zurich,S,RL,Groupe libéral-radical,Ruedi,Membre,www.ruedinoser.ch,Noser,2619,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2619.jpg
172,2020-12-07T11:54:27Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=172,SG,St-Gall,S,S,Groupe socialiste,Paul,Membre,www.paulrechsteiner.ch,Rechsteiner,2143,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2143.jpg
4316,2021-03-23T16:19:43Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4316,SZ,Schwyz,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Othmar,Membre,www.othmarreichmuth.ch,Reichmuth,3212,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3212.jpg
